,STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT
0,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA1,"본원통화(평잔, 계절조정계열)",A,2002,2022,21
1,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA1,"본원통화(평잔, 계절조정계열)",M,200112,202212,253
2,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA104,현금통화,A,2002,2022,21
3,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA104,현금통화,M,200112,202212,253
4,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA103,중앙은행 대 예금취급기관부채,A,2002,2022,21
5,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA103,중앙은행 대 예금취급기관부채,M,200112,202212,253
6,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA1,"본원통화(평잔, 원계열)",A,1971,2022,52
7,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA1,"본원통화(평잔, 원계열)",M,197101,202212,624
8,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA1,"본원통화(평잔, 원계열)",Q,1971Q1,2022Q4,208
9,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA103,현금통화,A,2002,2022,21
10,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA103,현금통화,M,200201,202212,252
11,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA103,현금통화,Q,2002Q1,2022Q4,84
12,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA104,중앙은행 대 예금취급기관부채,A,2002,2022,21
13,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA104,중앙은행 대 예금취급기관부채,M,200201,202212,252
14,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA104,중앙은행 대 예금취급기관부채,Q,2002Q1,2022Q4,84
15,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA2,"본원통화(말잔, 계절조정계열)",A,2002,2022,21
16,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA2,"본원통화(말잔, 계절조정계열)",M,200112,202212,253
17,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA204,현금통화,A,2002,2022,21
18,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA204,현금통화,M,200112,202212,253
19,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA203,중앙은행 대 예금취급기관부채,A,2002,2022,21
20,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA203,중앙은행 대 예금취급기관부채,M,200112,202212,253
21,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA2,"본원통화(말잔, 원계열)",A,1960,2022,63
22,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA2,"본원통화(말잔, 원계열)",M,196001,202212,756
23,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA2,"본원통화(말잔, 원계열)",Q,1960Q1,2022Q4,252
24,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA203,현금통화,A,2002,2022,21
25,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA203,현금통화,M,200201,202212,252
26,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA203,현금통화,Q,2002Q1,2022Q4,84
27,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA204,중앙은행 대 예금취급기관부채,A,2002,2022,21
28,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA204,중앙은행 대 예금취급기관부채,M,200201,202212,252
29,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",Group1,계정항목,ABA204,중앙은행 대 예금취급기관부채,Q,2002Q1,2022Q4,84
30,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",Group1,계정항목,BBLS00,"M1(평잔, 계절조정계열)",A,1970,2022,53
31,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",Group1,계정항목,BBLS00,"M1(평잔, 계절조정계열)",M,197001,202212,636
32,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",Group1,계정항목,BBLS01,현금통화,A,2002,2022,21
33,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",Group1,계정항목,BBLS01,현금통화,M,200112,202212,253
34,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",Group1,계정항목,BBLS02,요구불예금,A,2002,2022,21
35,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",Group1,계정항목,BBLS02,요구불예금,M,200112,202212,253
