,P_STAT_CODE,STAT_CODE,STAT_NAME,CYCLE,USED,ORG_NAME
0,*,0000000001,1. 통화/금융,,N,
1,0000000001,0000000002,1.1. 통화/유동성,,N,
2,0000000002,0000000003,1.1.1. 본원통화,,N,
3,0000000003,0000000004,1.1.1.1. 본원통화 구성내역,,N,
4,0000000004,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",,Y,한국은행
5,0000000004,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",,Y,한국은행
6,0000000004,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",,Y,한국은행
7,0000000004,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",,Y,한국은행
8,0000000002,0000000005,1.1.2. M1(협의통화),,N,
9,0000000005,0000000006,1.1.2.1. M1(협의통화) 상품별 구성내역,,N,
10,0000000006,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",,Y,한국은행
11,0000000006,101Y019,"1.1.2.1.2. M1 상품별 구성내역(평잔, 원계열)",,Y,한국은행
12,0000000006,101Y016,"1.1.2.1.3. M1 상품별 구성내역(말잔, 계절조정계열)",,Y,한국은행
13,0000000006,101Y017,"1.1.2.1.4. M1 상품별 구성내역(말잔, 원계열)",,Y,한국은행
14,0000000002,0000000007,1.1.3. M2(광의통화),,N,
15,0000000007,0000000008,1.1.3.1. M2(광의통화) 상품별 구성내역,,N,
16,0000000008,101Y003,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)",,Y,한국은행
17,0000000008,101Y004,"1.1.3.1.2. M2 상품별 구성내역(평잔, 원계열)",,Y,한국은행
18,0000000008,101Y001,"1.1.3.1.3. M2 상품별 구성내역(말잔, 계절조정계열)",,Y,한국은행
19,0000000008,101Y002,"1.1.3.1.4. M2 상품별 구성내역(말잔, 원계열)",,Y,한국은행
20,0000000007,0000000009,1.1.3.2. M2(광의통화) 경제주체별 보유현황,,N,
21,0000000009,101Y006,"1.1.3.2.1. M2 경제주체별 보유현황(평잔, 계절조정계열)",,Y,
22,0000000009,101Y015,"1.1.3.2.2. M2 경제주체별 보유현황(평잔, 원계열)",,Y,한국은행
23,0000000009,101Y005,"1.1.3.2.3. M2 경제주체별 보유현황(말잔, 계절조정계열)",,Y,한국은행
24,0000000009,101Y014,"1.1.3.2.4. M2 경제주체별 보유현황(말잔, 원계열)",,Y,한국은행
25,0000000007,0000000010,1.1.3.3. M2 기관별 구성내역,,N,
26,0000000010,101Y008,1.1.3.3.1. M2 기관별구성내역(평잔),,Y,한국은행
27,0000000010,101Y007,1.1.3.3.2. M2 기관별구성내역(말잔),,Y,한국은행
28,0000000002,0000000012,1.1.4. Lf(금융기관 유동성) 관련통계,,N,
29,0000000012,0000000013,1.1.4.1. Lf(금융기관 유동성) 상품별 구성내역,,N,
30,0000000013,111Y003,"1.1.4.1.1. Lf 상품별 구성내역(평잔, 계절조정계열)",,Y,
31,0000000013,111Y004,"1.1.4.1.2. Lf 상품별 구성내역(평잔, 원계열)",,Y,
32,0000000013,111Y001,"1.1.4.1.3. Lf 상품별 구성내역(말잔, 계절조정계열)",,Y,
33,0000000013,111Y002,"1.1.4.1.4. Lf 상품별 구성내역(말잔, 원계열)",,Y,
34,0000000012,0000000014,1.1.4.2. Lf 기관별 구성내역,,N,
35,0000000014,111Y006,1.1.4.2.1. Lf 기관별 구성내역(평잔),,Y,
