YYM1,CITY,CITY_CODE,GU_NAME,GU_CODE2,API_TT0,BaseRate,MoRate,FREQ,A_PSUM,SEOUL,METRO,LTV,DTI,MV_APT,JAEGO,BUNYANG,N_BUNYANG,IND_INDEX,JTP,LOAN_T,MON
200603,서울특별시,11,종로중구,1111,75.245607991,4.00,5.4600,71,2.5590286416,1,1,42.912677374,93.255606673,4.891421,110,0,277,109.907,48.372,104.381241,3
200606,서울특별시,11,종로중구,1111,81.009182952,4.25,5.4800,58,1.774481,1,1,43.944172322,94.827586207,4.891421,0,0,277,99.469,47.454,107.564252,6
200609,서울특별시,11,종로중구,1111,81.2086397,4.50,5.7700,90,2.8988393228,1,1,44.42562142,94,4.891421,0,0,14,123.203,47.67,110.66641,9
200612,서울특별시,11,종로중구,1111,88.06893967,4.50,5.8800,99,3.1811620238,1,1,50.340130518,95.151515152,4.891421,0,136,6,128.718,43.811,101.84374245,12
200703,서울특별시,11,종로중구,1111,86.507761918,4.50,6.2000,68,1.9556222222,1,1,50.951451066,48.890836463,6.083816,0,112,0,110.893,42.987,107.877226,3
200706,서울특별시,11,종로중구,1111,91.769298622,4.50,6.1300,48,1.5525091667,1,1,51.251564876,48.351863213,6.083816,0,0,93,102.227,43.14,110.307341,6
200709,서울특별시,11,종로중구,1111,92.079846894,5.00,6.5200,55,1.6641445833,1,1,52.053269699,48.05533917,6.083816,0,0,89,108.332,42.811,112.626114,9
200712,서울특별시,11,종로중구,1111,87.52919873,5.00,6.8500,57,1.8342523333,1,1,51.403700667,47.425722451,6.083816,744,0,183,113.158,42.165,116.409487,12
200803,서울특별시,11,종로중구,1111,96.397714955,5.00,6.7000,95,3.4827390531,1,1,51.298453495,46.561394674,6.265835,0,112,147,113.158,41.163,118.919127,3
200806,서울특별시,11,종로중구,1111,103.00174039,5.00,6.7700,66,3.0796969048,1,1,50.246913224,44.314696547,6.265835,470,0,111,91.984,39.312,124.125424,6
200809,서울특별시,11,종로중구,1111,105.2119796,5.25,7.2500,31,1.394238,1,1,49.991077709,45.496664085,6.265835,0,0,103,113.355,38.94,128.216878,9
200812,서울특별시,11,종로중구,1111,91.897007677,3.00,6.8100,23,0.905129,1,1,61.760953925,100,6.265835,0,0,291,94.249,38.67,129.852736,12
200903,서울특별시,11,종로중구,1111,95.388827534,2.00,5.4300,59,2.3621255303,1,1,61.718987772,100,8.221371,0,0,277,88.832,38.61226547,130.541711,3
200906,서울특별시,11,종로중구,1111,100.68465175,2.00,5.2500,71,2.9529466944,1,1,61.713666856,100,8.221371,0,0,265,85.09,38.886481048,132.995958,6
200909,서울특별시,11,종로중구,1111,110.61439526,2.00,5.7700,52,2.5344577273,1,1,55.148839759,61.180411425,8.221371,0,0,231,101.241,39.73417782,136.885476,9
200912,서울특별시,11,종로중구,1111,100.78354018,2.00,5.9000,38,1.8461533333,1,1,55.320300157,53.11851005,8.221371,233,0,229,104.097,40.563106195,139.556317,12
201003,서울특별시,11,종로중구,1111,103.67106981,2.00,5.4700,50,2.2352238333,1,1,55.596127461,53.190838519,9.118323,263,0,122,95.757,41.29149696,140.959729,3
201006,서울특별시,11,종로중구,1111,95.309283522,2.00,4.6200,22,1.046567,1,1,55.43251414,53.111730316,9.118323,136,0,140,97.3,42.057047881,147.444443,6
201009,서울특별시,11,종로중구,1111,96.728174202,2.25,4.8000,31,1.358265,1,1,55.784597967,100,9.118323,0,0,142,100.096,42.968426109,149.638557,9
201012,서울특별시,11,종로중구,1111,98.717627222,2.50,4.6700,60,2.8203208333,1,1,55.590532974,100,9.118323,0,0,136,107.329,44.371215491,152.647694,12
