date,mortgage_rate,interest,year,month,year_month
2006-01-01,5.64,0.0564,2006,1,2006-01
2006-02-01,5.58,0.0558,2006,2,2006-02
2006-03-01,5.46,0.0546,2006,3,2006-03
2006-04-01,5.42,0.0542,2006,4,2006-04
2006-05-01,5.41,0.0541,2006,5,2006-05
2006-06-01,5.48,0.0548,2006,6,2006-06
2006-07-01,5.79,0.0579,2006,7,2006-07
2006-08-01,5.86,0.058600000000000006,2006,8,2006-08
2006-09-01,5.77,0.057699999999999994,2006,9,2006-09
2006-10-01,5.69,0.056900000000000006,2006,10,2006-10
2006-11-01,5.69,0.056900000000000006,2006,11,2006-11
2006-12-01,5.88,0.0588,2006,12,2006-12
2007-01-01,6.11,0.0611,2007,1,2007-01
2007-02-01,6.18,0.061799999999999994,2007,2,2007-02
2007-03-01,6.2,0.062,2007,3,2007-03
2007-04-01,6.13,0.0613,2007,4,2007-04
2007-05-01,6.17,0.0617,2007,5,2007-05
2007-06-01,6.13,0.0613,2007,6,2007-06
2007-07-01,6.24,0.062400000000000004,2007,7,2007-07
2007-08-01,6.38,0.0638,2007,8,2007-08
2007-09-01,6.52,0.0652,2007,9,2007-09
2007-10-01,6.55,0.0655,2007,10,2007-10
2007-11-01,6.59,0.0659,2007,11,2007-11
2007-12-01,6.85,0.06849999999999999,2007,12,2007-12
2008-01-01,7.08,0.0708,2008,1,2008-01
2008-02-01,6.72,0.0672,2008,2,2008-02
2008-03-01,6.7,0.067,2008,3,2008-03
2008-04-01,6.8,0.068,2008,4,2008-04
2008-05-01,6.79,0.0679,2008,5,2008-05
2008-06-01,6.77,0.0677,2008,6,2008-06
2008-07-01,6.92,0.0692,2008,7,2008-07
2008-08-01,7.16,0.0716,2008,8,2008-08
2008-09-01,7.25,0.0725,2008,9,2008-09
2008-10-01,7.58,0.0758,2008,10,2008-10
2008-11-01,7.42,0.0742,2008,11,2008-11
2008-12-01,6.81,0.0681,2008,12,2008-12
2009-01-01,5.63,0.056299999999999996,2009,1,2009-01
2009-02-01,5.38,0.0538,2009,2,2009-02
2009-03-01,5.43,0.054299999999999994,2009,3,2009-03
2009-04-01,5.3,0.053,2009,4,2009-04
2009-05-01,5.25,0.0525,2009,5,2009-05
2009-06-01,5.25,0.0525,2009,6,2009-06
2009-07-01,5.29,0.0529,2009,7,2009-07
2009-08-01,5.45,0.0545,2009,8,2009-08
2009-09-01,5.77,0.057699999999999994,2009,9,2009-09
