date,open,high,low,close,vol
2026-08-20,"6,680.34","6,904.55","6,600.09","6,847.59","257,375,000"
2026-08-19,"6,528.77","6,614.39","6,400.81","6,471.17","305,840,300"
2026-08-18,"7,127.77","7,216.62","6,788.78","6,869.83","402,682,400"
2026-08-14,"6,995.67","7,010.86","6,848.43","6,977.94","332,941,600"
2026-08-13,"6,773.92","6,895.63","6,748.13","6,813.34","418,947,300"
2026-08-12,"6,438.50","6,668.43","6,413.50","6,579.04","360,651,200"
2026-08-11,"6,240.06","6,405.81","6,213.78","6,345.53","333,481,400"
2026-08-10,"6,306.33","6,394.06","6,232.45","6,299.66","293,734,200"
2026-08-07,"6,365.07","6,415.60","6,158.73","6,258.77","299,376,500"
2026-08-06,"6,478.75","6,550.94","6,238.32","6,296.38","284,501,000"
2026-08-05,"6,603.48","6,674.66","6,540.27","6,598.26","338,499,600"
2026-08-04,"6,351.38","6,389.40","6,080.25","6,358.95","312,996,900"
2026-08-03,"6,358.27","6,393.00","6,223.29","6,257.45","272,959,300"
2026-07-31,"5,657.79","6,630.77","5,629.76","6,595.45","434,445,200"
2026-07-30,"5,681.77","5,976.82","5,547.41","5,593.56","378,859,400"
2026-07-29,"6,089.11","6,228.52","5,262.77","5,663.24","457,384,800"
2026-07-28,"6,400.27","6,413.57","5,992.91","6,023.66","331,261,000"
2026-07-27,"6,806.27","6,806.27","6,557.39","6,755.75","275,717,600"
2026-07-24,"7,000.78","7,000.78","6,650.41","6,690.62","397,654,900"
2026-07-23,"6,963.35","7,108.44","6,892.64","7,096.89","397,345,800"
2026-07-22,"7,052.09","7,166.00","6,791.06","6,797.70","373,810,100"
2026-07-21,"6,553.88","6,836.86","6,429.03","6,747.95","391,091,600"
2026-07-20,"6,643.58","6,814.86","6,472.80","6,516.27","345,824,600"
2026-07-16,"6,960.50","6,995.93","6,730.87","6,820.60","424,279,800"
2026-07-15,"7,082.91","7,424.18","7,082.91","7,284.41","397,853,700"
2026-07-14,"6,769.06","6,979.92","6,448.86","6,856.83","491,599,300"
2026-07-13,"7,412.03","7,529.07","6,783.43","6,806.93","474,084,800"
2026-07-10,"7,552.49","7,704.93","7,429.51","7,475.94","453,242,100"
2026-07-09,"7,486.64","7,543.86","7,063.76","7,291.91","582,790,700"
