,M2
2000-01-01,676436.9
2000-02-01,677174.8
2000-03-01,683311.2
2000-04-01,692383.6
2000-05-01,690294.1
2000-06-01,686899.3
2000-07-01,698515.2
2000-08-01,703114.8
2000-09-01,697329.9
2000-10-01,698792.9
2000-11-01,704545.0
2000-12-01,704065.6
2001-01-01,711351.5
2001-02-01,714773.7
2001-03-01,717620.7
2001-04-01,720839.2
2001-05-01,730570.3
2001-06-01,738363.6
2001-07-01,749966.5
2001-08-01,755723.8
2001-09-01,765193.1
2001-10-01,765566.9
2001-11-01,764751.7
2001-12-01,763847.0
2002-01-01,774224.7
2002-02-01,784552.7
2002-03-01,798918.7
2002-04-01,808269.2
2002-05-01,817431.9
2002-06-01,821128.2
2002-07-01,829984.9
2002-08-01,835984.1
2002-09-01,848773.9
2002-10-01,862428.8
2002-11-01,868092.0
2002-12-01,871564.1
2003-01-01,882004.1
2003-02-01,883705.6
2003-03-01,887466.4
2003-04-01,882446.3
2003-05-01,883262.6
2003-06-01,880029.8
2003-07-01,888595.9
2003-08-01,889963.5
2003-09-01,889643.2
2003-10-01,891214.0
2003-11-01,895503.7
2003-12-01,895639.8
2004-01-01,897070.9
2004-02-01,906986.7
2004-03-01,911447.1
2004-04-01,920236.6
2004-05-01,923153.4
2004-06-01,923962.3
2004-07-01,930869.0
2004-08-01,938875.7
2004-09-01,941989.4
2004-10-01,943282.3
2004-11-01,953327.6
2004-12-01,953841.5
2005-01-01,958504.2
2005-02-01,971109.0
2005-03-01,969658.2
2005-04-01,982939.9
2005-05-01,987911.3
2005-06-01,995096.2
2005-07-01,1004623.4
2005-08-01,1007822.6
2005-09-01,1013018.5
2005-10-01,1009310.0
2005-11-01,1013663.2
2005-12-01,1017302.3
2006-01-01,1028054.9
2006-02-01,1034033.0
2006-03-01,1038058.3
2006-04-01,1044068.2
2006-05-01,1062511.4
2006-06-01,1075247.3
2006-07-01,1081775.7
2006-08-01,1092717.1
2006-09-01,1112574.3
2006-10-01,1117405.9
2006-11-01,1128613.2
2006-12-01,1144573.1
2007-01-01,1147306.3
2007-02-01,1147909.9
2007-03-01,1160311.5
2007-04-01,1163956.2
2007-05-01,1177305.6
2007-06-01,1193136.8
2007-07-01,1208042.7
2007-08-01,1212977.9
2007-09-01,1224764.4
2007-10-01,1244856.2
2007-11-01,1255772.9
2007-12-01,1277716.2
2008-01-01,1300788.9
2008-02-01,1321330.6
2008-03-01,1325472.1
2008-04-01,1357256.2
2008-05-01,1363020.8
2008-06-01,1362676.1
2008-07-01,1376448.5
2008-08-01,1390953.9
2008-09-01,1393143.1
2008-10-01,1410713.7
2008-11-01,1416552.6
2008-12-01,1420513.9
2009-01-01,1447176.3
2009-02-01,1468724.4
2009-03-01,1477172.3
2009-04-01,1489725.1
2009-05-01,1497469.5
2009-06-01,1504947.6
2009-07-01,1508400.0
2009-08-01,1528685.5
2009-09-01,1530457.4
2009-10-01,1547684.4
2009-11-01,1560275.6
2009-12-01,1564576.2
2010-01-01,1588337.4
2010-02-01,1593006.8
2010-03-01,1616280.1
2010-04-01,1626339.8
2010-05-01,1638256.5
2010-06-01,1644664.2
2010-07-01,1643203.9
2010-08-01,1652293.0
2010-09-01,1653930.4
2010-10-01,1664712.2
2010-11-01,1675564.8
2010-12-01,1654675.8
2011-01-01,1672025.3
2011-02-01,1679474.1
2011-03-01,1680236.3
2011-04-01,1690397.6
2011-05-01,1688354.1
2011-06-01,1691081.9
2011-07-01,1708850.2
2011-08-01,1714816.8
2011-09-01,1730154.1
2011-10-01,1739993.6
2011-11-01,1747627.2
2011-12-01,1745479.0
2012-01-01,1754492.4
2012-02-01,1761834.9
2012-03-01,1781796.6
2012-04-01,1777140.1
2012-05-01,1783471.9
2012-06-01,1793953.8
2012-07-01,1810820.3
2012-08-01,1809494.1
2012-09-01,1814426.9
2012-10-01,1824948.7
2012-11-01,1828334.9
2012-12-01,1840118.2
2013-01-01,1847193.9
2013-02-01,1854094.3
2013-03-01,1863650.9
2013-04-01,1871682.6
2013-05-01,1878597.5
2013-06-01,1880737.5
2013-07-01,1879888.3
2013-08-01,1890507.4
2013-09-01,1904728.3
2013-10-01,1908084.8
2013-11-01,1918112.0
2013-12-01,1925002.7
2014-01-01,1947515.6
2014-02-01,1964346.6
2014-03-01,1966281.4
2014-04-01,1974261.2
2014-05-01,1989131.0
2014-06-01,1996979.2
2014-07-01,2017151.4
2014-08-01,2029634.2
2014-09-01,2040018.6
2014-10-01,2068512.8
2014-11-01,2081613.3
2014-12-01,2083218.2
2015-01-01,2091409.6
2015-02-01,2110311.1
2015-03-01,2130742.3
2015-04-01,2158644.9
2015-05-01,2170652.9
2015-06-01,2185308.0
2015-07-01,2201836.9
2015-08-01,2220758.0
2015-09-01,2222873.6
2015-10-01,2230980.7
2015-11-01,2238505.8
2015-12-01,2252171.2
2016-01-01,2266781.4
2016-02-01,2286645.5
2016-03-01,2299682.0
2016-04-01,2298306.6
2016-05-01,2321864.7
2016-06-01,2330392.4
2016-07-01,2356688.8
2016-08-01,2383861.3
2016-09-01,2386375.0
2016-10-01,2392816.5
2016-11-01,2404867.0
2016-12-01,2399741.3
2017-01-01,2405487.2
2017-02-01,2429038.6
2017-03-01,2441237.4
2017-04-01,2445358.9
2017-05-01,2454424.8
2017-06-01,2459115.6
2017-07-01,2477331.8
2017-08-01,2486613.2
2017-09-01,2494169.6
2017-10-01,2512405.4
2017-11-01,2523634.9
2017-12-01,2522385.1
2018-01-01,2566352.4
2018-02-01,2567235.4
2018-03-01,2571823.7
2018-04-01,2593755.5
2018-05-01,2612104.2
2018-06-01,2614376.0
2018-07-01,2642457.2
2018-08-01,2648744.1
2018-09-01,2654388.1
2018-10-01,2685738.5
2018-11-01,2690781.1
2018-12-01,2705784.2
2019-01-01,2725133.7
2019-02-01,2734918.2
2019-03-01,2748431.5
2019-04-01,2765311.5
2019-05-01,2776574.1
2019-06-01,2796024.8
2019-07-01,2818498.5
2019-08-01,2842442.6
2019-09-01,2862820.3
2019-10-01,2876203.0
2019-11-01,2906367.0
2019-12-01,2913479.1
2020-01-01,2934433.6
2020-02-01,2962716.3
2020-03-01,2981361.2
2020-04-01,3015118.9
2020-05-01,3052853.9
2020-06-01,3074968.6
2020-07-01,3101085.0
2020-08-01,3104519.1
2020-09-01,3130951.2
2020-10-01,3167776.6
2020-11-01,3198075.5
2020-12-01,3193700.9
2021-01-01,3234250.4
2021-02-01,3265886.6
2021-03-01,3317829.9
2021-04-01,3348177.5
2021-05-01,3388794.2
2021-06-01,3408441.9
2021-07-01,3439964.2
2021-08-01,3501222.1
2021-09-01,3514535.3
2021-10-01,3559644.9
2021-11-01,3602112.5
2021-12-01,3610685.1
2022-01-01,3641786.9
2022-02-01,3653013.9
2022-03-01,3644094.6
2022-04-01,3656057.6
2022-05-01,3700645.9
2022-06-01,3691386.1
2022-07-01,3719258.7
