YYM,REALGDP,REALCONS,INV,M2,INFL,UNEMP,EMPLOY,CD_3M
200112,1.8,2.6,-4.000543449,763.8,69.501,3.7,0.7099079051,4.84
200203,2.5,3.4,2.1896816425,798.9,70.632,3.4,0.8902605496,4.64
200206,1.8,2,7.2289072142,821.1,71.231,3.1,0.514057388,4.85
200209,2,0.7,-0.144686333,848.8,71.898,3,0.3723162392,4.81
200212,1.1,-0.1,5.9459742658,871.6,72.096,3.1,0.1569858713,4.90
200303,-0.7,-0.9,4.9057332715,887.5,73.828,3.4,-0.489476041,4.76
200306,-0.2,-0.6,-1.850348754,880,73.362,3.6,-0.461281598,4.28
200309,1.9,0.3,0.3656098601,889.6,74.294,3.6,0.4032877901,3.83
200312,2.6,0,3.0525481517,895.6,74.561,3.7,0.6488828048,4.34
200403,1.3,-0.1,4.8257738347,911.4,76.091,3.6,1.6204728989,3.93
200406,0.8,0.3,2.5170649055,924,76.025,3.5,-0.437621347,3.91
200409,0.4,0.1,-0.825037944,942,77.156,3.6,0.0486417886,3.52
200412,0.8,1.1,3.409842851,953.8,76.824,3.8,0.7089408759,3.39
200503,0.9,1,-1.88109113,969.7,78.365,3.7,0.0267711767,3.55
200506,1.9,2.4,4.3321493413,995.1,78.129,3.8,0.045630446,3.51
200509,1.5,1.2,2.4375468648,1013,79.071,3.9,-0.014033734,3.70
200512,1,1.1,-0.394623676,1017.3,78.836,3.6,0.5802886091,4.04
200603,1.6,1,5.1039187608,1038.1,79.934,3.6,0.6615412122,4.27
200606,0.7,1.3,-3.805100012,1075.2,80.013,3.5,0.2733613482,4.47
200609,1.6,1.1,7.3832247608,1112.6,81.032,3.5,0.2199074574,4.64
200612,0.8,1.4,-4.720107188,1144.6,80.483,3.4,0.5358451524,4.76
200703,1.7,1.2,6.4866445701,1160.3,81.66,3.2,0.6590541694,4.94
200706,1.7,1.7,4.3212278228,1193.1,82.052,3.2,0.1989350373,5.03
200709,1.2,1.1,-3.417599607,1224.8,82.915,3.2,0.1798339406,5.34
200712,2.2,0.9,6.8189097286,1277.7,83.386,3.2,0.4791206926,5.73
200803,0.4,1,1.5252249561,1325.5,84.876,3,0.3889867339,5.25
200806,0.5,-0.1,5.8645123589,1362.7,86.601,3.1,0.0685767176,5.36
200809,0.8,-0.1,5.8222701462,1393.1,87.151,3.2,-0.041622347,5.79
200812,-3.3,-3.8,-20.49817007,1420.5,86.837,3.4,-0.046686912,4.68
200903,0.1,-0.3,-8.44818524,1477.2,88.17,3.6,-0.52726148,2.45
200906,1.3,3.6,6.2000061649,1504.9,88.327,3.9,-0.044841152,2.41
200909,3,1.1,17.289437626,1530.5,89.034,3.6,0.4393018571,2.64
200912,0.7,1,-0.144664529,1564.6,89.269,3.6,0.0703685288,2.82
201003,2,0.9,11.408397329,1616.3,90.338,3.7,0.0892672924,2.83
201006,1.9,0.9,-4.016928212,1644.7,90.702,3.5,1.2242270752,2.45
201009,1.2,1,3.4994254372,1653.9,92.068,3.7,0.2256754679,2.66
201012,1.2,0.8,4.4114203184,1654.7,91.977,3.7,0.2463156323,2.80
201103,0.9,1.2,2.9083425745,1680.2,94.072,3.8,0.4446779291,3.35
201106,0.5,0.7,4.0906951664,1691.1,94.527,3.3,1.1316885139,3.53
201109,0.5,-0.2,-8.110128234,1730.2,95.529,3.3,-0.037870921,3.58
201112,0.5,0.2,6.7557066184,1745.5,95.802,3.2,0.6644179927,3.55
201203,0.9,0.6,3.2679277244,1781.8,96.576,3.3,0.3528807126,3.54
201206,0.6,0.3,-4.946667951,1794,96.603,3.2,0.8178045899,3.54
201209,0.4,1,-6.825510135,1814.4,97.523,3.2,0.0539980561,3.14
201212,0.5,0.3,-0.907286277,1840.1,97.168,3.1,-0.057167072,2.88
201303,0.9,-0.3,4.6143726947,1863.7,97.987,3,-0.077199691,2.81
201306,1.2,0.9,-2.160305309,1880.7,97.732,3.1,1.086834689,2.69
201309,0.9,0.8,2.7646356187,1904.7,98.479,3,0.5492568994,2.66
201312,0.8,0.7,3.3407463111,1925,98.279,3.2,0.6872513883,2.65
201403,1,0.5,-1.183729737,1966.3,99.253,3.4,0.8378478809,2.65
201406,0.9,0,0.7522205838,1997,99.353,3.5,0.1547729415,2.65
201409,0.3,0.4,2.4519770582,2040,99.608,3.5,0.6138747308,2.35
201412,0.4,0.4,-0.451069916,2083.2,99.098,3.7,0.118176464,2.13
201503,0.9,0.8,1.5257947556,2130.7,99.72,3.5,0.3625695918,1.95
201506,0.4,0.2,0.6608314989,2185.3,100.05,3.8,-0.056698247,1.70
201509,1.5,0.6,3.7162738272,2222.9,100.11,3.5,0.4967744161,1.60
