,year,metro,id,sex,old_h,grand_h,single_h,multi_h,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
0,2021,G1,10000162,2,G1,G2,G2,G2,74,1,2,3,15740,0,1718,1617,T,4,2,0
1,2021,G1,10000182,1,G2,G2,G2,G2,59,2,4,2,13680,0,2977,2744,C,5,2,9
2,2021,G1,10000192,2,G2,G2,G2,G2,28,1,4,1,1520,400,971,878,R,2,3,9
3,2021,G2,10000212,1,G1,G2,G2,G2,72,2,4,2,16982,300,3101,2992,,,1,9
4,2021,G2,10000222,1,G2,G2,G2,G2,53,1,4,1,6410,6500,3066,2137,C,9,1,9
5,2021,G2,10000262,2,G1,G2,G2,G2,67,2,4,2,66800,0,2896,2414,,,1,9
6,2021,G2,10000272,1,G2,G2,G2,G2,57,4,5,2,40660,0,12416,9085,O,3,1,12
7,2021,G2,10000282,1,G2,G2,G2,G2,60,5,2,2,124500,76160,6574,3022,C,8,1,0
8,2021,G1,10000312,1,G2,G2,G2,G2,51,5,6,2,95425,0,11106,9994,J,2,1,14
9,2021,G1,10000322,1,G2,G2,G2,G2,36,3,5,1,5580,2300,4860,4453,P,3,1,12
10,2021,G1,10000332,2,G2,G2,G2,G2,28,2,4,2,27597,12900,8283,6225,C,8,2,9
11,2021,G1,10000342,1,G2,G2,G2,G2,29,1,7,1,13930,10500,6030,4970,C,3,2,16
12,2021,G1,10000352,2,G1,G2,G2,G2,66,1,4,3,36800,0,1059,982,,,1,9
13,2021,G1,10000362,1,G1,G2,G2,G2,83,2,6,2,19010,0,12129,11721,H,3,5,14
14,2021,G1,10000372,2,G2,G2,G2,G2,60,4,4,2,58416,45000,10686,9667,I,4,1,9
15,2021,G1,10001102,1,G2,G2,G2,G2,36,1,5,1,7056,0,2191,2073,L,5,3,12
16,2021,G1,10100112,1,G2,G2,G2,G2,47,4,6,2,84410,0,8890,8059,J,2,1,14
17,2021,G1,10100172,2,G2,G2,G2,G2,45,2,7,1,192340,30000,1344,1025,,,1,16
18,2021,G1,10100182,2,G1,G2,G2,G2,69,1,4,3,110015,0,1496,1418,,,1,9
19,2021,G1,10100192,1,G2,G2,G2,G2,30,3,6,1,24940,2050,10689,9238,K,3,3,14
20,2021,G2,10100232,2,G2,G2,G2,G2,62,1,2,4,1315,0,95,78,,,3,0
21,2021,G2,10100242,1,G2,G2,G2,G2,57,3,5,2,37704,0,4625,4159,C,5,1,12
22,2021,G2,10100252,1,G2,G2,G2,G2,38,3,4,2,16774,8224,2952,2369,,,1,9
23,2021,G2,10100262,2,G2,G2,G2,G2,58,1,3,4,9707,0,793,786,,,1,6
24,2021,G2,10100272,2,G1,G2,G2,G2,79,1,2,3,23100,0,701,529,,,1,0
25,2021,G2,10100282,1,G2,G2,G2,G2,53,3,6,2,59260,16000,7565,4999,K,3,1,14
26,2021,G1,10100312,1,G2,G2,G2,G2,57,4,6,2,100304,9500,6540,5734,L,2,1,14
27,2021,G1,10100342,1,G2,G2,G2,G2,61,2,4,2,22010,200,3923,3665,,,1,9
28,2021,G1,10100372,2,G2,G2,G2,G2,57,4,7,3,262258,78596,7319,6735,P,2,1,16
29,2021,G1,10100382,1,G2,G2,G2,G2,63,2,4,2,19900,100,2670,2386,,,3,9
30,2021,G1,10100392,1,G2,G2,G2,G2,61,2,3,2,3400,0,4014,3801,F,9,3,6
31,2021,G1,10101122,1,G2,G2,G2,G2,51,4,6,2,258786,40400,13583,8955,C,3,1,14
32,2021,G1,10101162,1,G2,G2,G2,G2,39,2,5,1,20100,0,2354,2211,G,3,2,12
33,2021,G1,10101172,1,G2,G2,G2,G2,58,3,4,2,51230,0,8403,7350,F,7,1,9
34,2021,G1,10101182,1,G1,G2,G2,G2,65,3,6,2,260600,1500,7245,5588,G,3,1,14
35,2021,G1,10700111,1,G2,G2,G2,G2,37,3,6,2,167820,51946,26881,17160,K,3,2,14
36,2021,G1,10700141,2,G2,G2,G2,G2,50,2,4,4,1010,4360,3536,3143,,,3,9
37,2021,G1,10700151,1,G2,G2,G2,G2,66,3,2,2,21992,4500,3134,2691,N,7,1,0
38,2021,G1,10700181,1,G2,G2,G2,G2,39,3,6,2,42892,22700,9925,7263,P,2,2,14
39,2021,G2,10700191,1,G2,G2,G2,G2,70,2,3,2,84072,500,2170,1825,,,1,6
40,2021,G2,10700211,2,G2,G2,G2,G2,63,1,3,4,7597,0,1213,1157,I,4,1,6
41,2021,G2,10700221,2,G1,G2,G2,G2,81,1,1,3,10,0,765,764,,,5,0
42,2021,G2,10700231,2,G2,G2,G2,G2,53,3,4,4,56648,28000,7115,6470,M,3,1,9
43,2021,G2,10700241,1,G1,G2,G2,G2,67,2,2,2,26828,0,4047,3743,C,8,1,0
44,2021,G1,10700321,2,G1,G2,G2,G2,69,2,4,2,34615,0,4662,4441,Q,4,1,9
45,2021,G1,10700331,2,G2,G2,G2,G2,72,2,2,3,17600,0,1702,1632,,,1,0
46,2021,G1,10700341,1,G2,G2,G2,G2,48,5,6,2,119360,3000,21148,15436,G,3,2,14
47,2021,G1,10700391,1,G2,G2,G2,G2,47,3,4,2,47578,17600,7121,6205,G,8,1,9
48,2021,G1,10701101,2,G2,G2,G1,G1,49,3,4,4,17970,0,476,-153,I,4,2,9
