,job_code,job_name
0,111,의회 의원∙고위 공무원 및 공공단체 임원
1,112,기업 고위 임원
2,121,행정 및 경영 지원 관리자
3,122,마케팅 및 광고∙홍보 관리자
4,131,연구∙교육 및 법률 관련 관리자
5,132,보험 및 금융 관리자
6,133,보건 및 사회복지 관련 관리자
7,134,문화∙예술 관련 관리자
8,135,정보 통신 관련 관리자
9,139,기타 전문 서비스 관리자
10,141,건설∙전기 및 생산 관련 관리자
11,149,기타 건설∙전기 및 생산 관련 관리자
12,151,판매 및 운송 관리자
13,152,고객 서비스 관리자
14,153,환경∙청소 및 경비 관련 관리자
15,159,기타 판매 및 고객 서비스 관리자
16,211,생명 및 자연과학 관련 전문가
17,212,인문 및 사회과학 전문가
18,213,생명 및 자연과학 관련 시험원
19,221,컴퓨터 하드웨어 및 통신공학 전문가
20,222,컴퓨터 시스템 및 소프트웨어 전문가
21,223,데이터 및 네트워크 관련 전문가
22,224,정보 시스템 및 웹 운영자
23,225,통신 및 방송 송출 장비 기사
24,231,건축∙토목 공학 기술자 및 시험원
25,232,화학공학 기술자 및 시험원
26,233,금속∙재료 공학 기술자 및 시험원
27,234,전기∙전자공학 기술자 및 시험원
28,235,기계∙로봇공학 기술자 및 시험원
29,236,소방∙방재 기술자 및 안전 관리원
30,237,환경공학∙가스·에너지 기술자 및 시험원
31,238,항공기∙선박 기관사 및 관제사
32,239,기타 공학 전문가 및 관련 종사자
33,241,의료 진료 전문가
34,242,약사 및 한약사
35,243,간호사
36,244,영양사
37,245,치료∙재활사 및 의료기사
38,246,보건 의료 관련 종사자
39,247,사회복지 관련 종사자
40,248,종교 관련 종사자
41,251,대학교수 및 강사
42,252,학교 교사
43,253,유치원 교사
44,254,문리∙기술 및 예능 강사
45,259,기타 교육 전문가
46,261,법률 전문가
47,262,행정 전문가
48,271,인사 및 경영 전문가
49,272,금융 및 보험 전문가
50,273,상품 기획∙홍보 및 조사 전문가
51,274,감정∙기술영업및중개관련종사자 
52,281,작가 및 언론 관련 전문가
53,282,학예사∙사서 및 기록물 관리사
54,283,연극∙영화 및 영상 전문가
55,284,시각 및 공연 예술가
56,285,디자이너
57,286,스포츠 및 레크리에이션 관련 전문가
58,287,식문화 관련 전문가
59,288,문화∙예술 관련 기획자 및 매니저
60,311,행정 사무원
61,312,경영 관련 사무원
62,313,회계 및 경리 사무원
63,314,비서 및 사무 보조원
64,320,금융 사무 종사자
65,330,법률 및 감사 사무 종사자
66,391,통계 관련 사무원
67,392,여행∙안내 및 접수 사무원
68,399,고객 상담 및 기타 사무원
69,411,경찰∙소방 및 교도 관련 종사자
70,412,경호 및 보안 관련 종사자
71,421,돌봄 및 보건 서비스 종사자
72,422,미용 관련 서비스 종사자
73,423,혼례 및 장례 종사자
74,429,기타 돌봄∙보건 및 개인 생활 서비스 종사자
75,431,운송 서비스 종사자
76,432,여가 서비스 종사자
77,441,조리사
78,442,식음료 서비스 종사자
79,510,영업 종사자
80,521,매장 판매 종사자
81,522,상품 대여 종사자
82,531,통신 관련 판매직
83,532,방문 및 노점 판매 관련직
84,611,작물 재배 종사자
85,612,원예 및 조경 종사자
86,613,축산 및 사육 관련 종사자
87,620,임업 관련 종사자
88,630,어업 관련 종사자
89,710,식품가공 관련 기능 종사자
90,721,섬유 및 가죽 관련 기능 종사자
91,722,의복제조관련기능종사자 
92,730,목재∙가구∙악기 및 간판 관련 기능 종사자
93,741,금형∙주조 및 단조원
94,742,제관원 및 판금원
95,743,용접원
96,751,자동차 정비원
97,752,운송장비정비원 
98,753,기계장비 설치 및 정비원
99,761,전기∙전자기기 설치 및 수리원
100,762,전기공
101,771,정보 통신기기 설치 및 수리원
102,772,방송∙통신장비 관련 설치 및 수리원
103,781,건설구조관련기능종사자 
104,782,건설관련기능종사자 
105,783,건축 마감 관련 기능 종사자
106,784,채굴 및 토목 관련 기능 종사자
107,791,공예 및 귀금속 세공원
108,792,배관공
109,799,기타 기능 관련 종사자
110,811,식품가공 관련 기계 조작원
111,812,음료제조관련기계조작원 
