,date,market,name,fullName,code,fullCode,bubinCode
0,2022-06-24,KOSPI,동화약품,동화약품(주),A000020,KR7000020008,1101110043870
1,2022-06-24,KOSPI,KR모터스,KR모터스(주),A000040,KR7000040006,1601110007032
2,2022-06-24,KOSPI,경방,(주)경방,A000050,KR7000050005,1101110013287
3,2022-06-24,KOSPI,메리츠화재,메리츠화재해상보험(주),A000060,KR7000060004,1101110013328
4,2022-06-24,KOSPI,삼양홀딩스,(주)삼양홀딩스,A000070,KR7000070003,1101110026181
5,2022-06-24,KOSPI,하이트진로,하이트진로(주),A000080,KR7000080002,1101110028591
6,2022-06-24,KOSPI,유한양행,(주)유한양행,A000100,KR7000100008,1101110014409
7,2022-06-24,KOSPI,CJ대한통운,씨제이대한통운(주),A000120,KR7000120006,1101110006167
8,2022-06-24,KOSPI,하이트진로홀딩스,하이트진로홀딩스(주),A000140,KR7000140004,1101110013766
9,2022-06-24,KOSPI,두산,(주)두산,A000150,KR7000150003,1101110013774
10,2022-06-24,KOSPI,성창기업지주,성창기업지주(주),A000180,KR7000180000,1801110001717
11,2022-06-24,KOSPI,DL,디엘 주식회사,A000210,KR7000210005,1101110084915
12,2022-06-24,KOSPI,유유제약,(주)유유제약,A000220,KR7000220004,1341110002307
13,2022-06-24,KOSPI,일동홀딩스,일동홀딩스(주),A000230,KR7000230003,1101110012776
14,2022-06-24,KOSPI,한국앤컴퍼니,한국앤컴퍼니(주),A000240,KR7000240002,1101110034233
15,2022-06-24,KOSDAQ,삼천당제약,삼천당제약(주),A000250,KR7000250001,1348110003327
16,2022-06-24,KOSPI,기아,기아(주),A000270,KR7000270009,1101110037998
17,2022-06-24,KOSPI,대유플러스,(주)대유플러스,A000300,KR7000300004,1101110085541
18,2022-06-24,KOSPI,노루홀딩스,(주)노루홀딩스,A000320,KR7000320002,1341110002878
19,2022-06-24,KOSPI,한화손해보험,한화손해보험(주),A000370,KR7000370007,1101110006456
20,2022-06-24,KOSPI,삼화페인트,삼화페인트공업(주),A000390,KR7000390005,1101110014433
21,2022-06-24,KOSPI,롯데손해보험,롯데손해보험(주),A000400,KR7000400002,1101110014459
22,2022-06-24,KOSPI,대원강업,대원강업(주),A000430,KR7000430009,1101110015556
23,2022-06-24,KOSDAQ,중앙에너비스,(주)중앙에너비스,A000440,KR7000440008,1101110003428
24,2022-06-24,KOSPI,조선내화,조선내화(주),A000480,KR7000480004,2011110000440
25,2022-06-24,KOSPI,대동,(주)대동,A000490,KR7000490003,1911110000104
26,2022-06-24,KOSPI,가온전선,가온전선(주),A000500,KR7000500009,1341110000567
27,2022-06-24,KOSPI,삼일제약,삼일제약(주),A000520,KR7000520007,1101110016679
28,2022-06-24,KOSPI,흥국화재,흥국화재해상보험(주),A000540,KR7000540005,1101110016728
29,2022-06-24,KOSPI,CS홀딩스,CS 홀딩스(주),A000590,KR7000590000,1101110008486
30,2022-06-24,KOSPI,동아쏘시오홀딩스,동아쏘시오홀딩스(주),A000640,KR7000640003,1101110017990
31,2022-06-24,KOSPI,천일고속,(주)천일고속,A000650,KR7000650002,1801110006915
32,2022-06-24,KOSPI,SK하이닉스,에스케이하이닉스(주),A000660,KR7000660001,1344110001387
33,2022-06-24,KOSPI,영풍,(주)영풍,A000670,KR7000670000,1101110003824
34,2022-06-24,KOSPI,LS네트웍스,(주)LS네트웍스,A000680,KR7000680009,1801110044717
35,2022-06-24,KOSPI,유수홀딩스,(주)유수홀딩스,A000700,KR7000700005,1101110003262
36,2022-06-24,KOSPI,현대건설,현대건설(주),A000720,KR7000720003,1101110007909
37,2022-06-24,KOSPI,이화산업,이화산업(주),A000760,KR7000760009,1101110018138
38,2022-06-24,KOSPI,삼성화재,삼성화재해상보험(주),A000810,KR7000810002,1101110005078
39,2022-06-24,KOSPI,화천기공,화천기공(주),A000850,KR7000850008,2001110001704
40,2022-06-24,KOSPI,강남제비스코,강남제비스코(주),A000860,KR7000860007,1801110003391
41,2022-06-24,KOSPI,한화,(주)한화,A000880,KR7000880005,1101110002959
42,2022-06-24,KOSPI,보해양조,보해양조(주),A000890,KR7000890004,2011110000036
43,2022-06-24,KOSPI,유니온,(주)유니온,A000910,KR7000910000,1101110200579
44,2022-06-24,KOSPI,전방,(주)전방,A000950,KR7000950006,1101110005664
45,2022-06-24,KOSPI,한국주철관,한국주철관공업(주),A000970,KR7000970004,1801110000587
46,2022-06-24,KOSPI,DB하이텍,주식회사 DB하이텍,A000990,KR7000990002,1101110026206
47,2022-06-24,KOSDAQ,신라섬유,신라섬유(주),A001000,KR7001000009,1701110014522
48,2022-06-24,KOSPI,페이퍼코리아,페이퍼코리아(주),A001020,KR7001020007,2111110000042
49,2022-06-24,KOSPI,CJ,CJ(주),A001040,KR7001040005,1101110015639
50,2022-06-24,KOSPI,JW중외제약,JW중외제약(주),A001060,KR7001060003,1101110019342
51,2022-06-24,KOSPI,대한방직,대한방직(주),A001070,KR7001070002,1101110019350
52,2022-06-24,KOSPI,만호제강,만호제강(주),A001080,KR7001080001,1801110054659
53,2022-06-24,KOSPI,LX인터내셔널,(주)LX인터내셔널,A001120,KR7001120005,1101110004632
54,2022-06-24,KOSPI,대한제분,대한제분(주),A001130,KR7001130004,1101110003733
55,2022-06-24,KOSPI,국보,(주)국보,A001140,KR7001140003,1101110296073
56,2022-06-24,KOSPI,유진투자증권,유진투자증권(주),A001200,KR7001200005,1101110007826
57,2022-06-24,KOSPI,금호전기,금호전기(주),A001210,KR7001210004,1101110028541
58,2022-06-24,KOSPI,동국제강,동국제강(주),A001230,KR7001230002,1101110031338
59,2022-06-24,KOSPI,GS글로벌,(주)지에스글로벌,A001250,KR7001250000,1101110031479
60,2022-06-24,KOSPI,남광토건,남광토건(주),A001260,KR7001260009,1101110017411
