,date,stockCode,stockName,market,open,close,high,low,volume,amount,totShare,totAmount
0,20220624,005930,삼성전자,KOSPI,57900,58400,59100,57700,23256103,1359292776100,5969782550,348635300920000
1,20220623,005930,삼성전자,KOSPI,57700,57400,58000,56800,28338608,1627019443340,5969782550,342665518370000
2,20220622,005930,삼성전자,KOSPI,59000,57600,59100,57600,23334687,1360076149300,5969782550,343859474880000
3,20220621,005930,삼성전자,KOSPI,58700,58500,59200,58200,25148109,1474998298400,5969782550,349232279175000
4,20220620,005930,삼성전자,KOSPI,59800,58700,59900,58100,34111306,1997076972175,5969782550,350426235685000
5,20220617,005930,삼성전자,KOSPI,59400,59800,59900,59400,29053450,1732449618748,5969782550,356992996490000
6,20220616,005930,삼성전자,KOSPI,61300,60900,61800,60500,23394895,1431052309321,5969782550,363559757295000
7,20220615,005930,삼성전자,KOSPI,61300,60700,61500,60200,26811224,1630190882434,5969782550,362365800785000
8,20220614,005930,삼성전자,KOSPI,61200,61900,62200,61100,24606419,1519195265000,5969782550,369529539845000
9,20220613,005930,삼성전자,KOSPI,62400,62100,62800,62100,22157816,1380636801900,5969782550,370723496355000
10,20220610,005930,삼성전자,KOSPI,64000,63800,64400,63800,22193552,1419245099700,5969782550,380872126690000
11,20220609,005930,삼성전자,KOSPI,65100,65200,65200,64500,25790725,1673763680952,5969782550,389229822260000
12,20220608,005930,삼성전자,KOSPI,65400,65300,65700,65300,12483180,817379109300,5969782550,389826800515000
13,20220607,005930,삼성전자,KOSPI,66200,65500,66400,65400,19355755,1273444989300,5969782550,391020757025000
14,20220603,005930,삼성전자,KOSPI,67200,66800,67300,66800,8222883,550654655700,5969782550,398781474340000
15,20220602,005930,삼성전자,KOSPI,66600,66700,67000,66400,14959443,996681075588,5969782550,398184496085000
16,20220531,005930,삼성전자,KOSPI,67500,67400,67500,66700,24365002,1637773742750,5969782550,402363343870000
17,20220530,005930,삼성전자,KOSPI,67500,67700,67800,66900,14255484,960592764000,5969782550,404154278635000
18,20220527,005930,삼성전자,KOSPI,66700,66500,66900,66200,11405555,759034579700,5969782550,396990539575000
19,20220526,005930,삼성전자,KOSPI,66300,65900,67200,65500,15970890,1057298883100,5969782550,393408670045000
20,20220525,005930,삼성전자,KOSPI,66700,66400,67100,65900,15150490,1007805029400,5969782550,396393561320000
21,20220524,005930,삼성전자,KOSPI,67500,66500,67700,66500,15482576,1035492905500,5969782550,396990539575000
22,20220523,005930,삼성전자,KOSPI,68800,67900,68800,67600,13684088,931341158100,5969782550,405348235145000
23,20220520,005930,삼성전자,KOSPI,67800,68000,68400,67700,12109671,824048609800,5969782550,405945213400000
24,20220519,005930,삼성전자,KOSPI,66500,67500,67600,66500,17073727,1147743790508,5969782550,402960322125000
25,20220518,005930,삼성전자,KOSPI,68300,68100,68700,67600,16486319,1122585202585,5969782550,406542191655000
26,20220517,005930,삼성전자,KOSPI,66600,67600,67900,66600,15680447,1058322764800,5969782550,403557300380000
27,20220516,005930,삼성전자,KOSPI,67100,66300,67400,66100,11937555,796060691900,5969782550,395796583065000
28,20220513,005930,삼성전자,KOSPI,65300,66500,66700,65200,14551536,962476162900,5969782550,396990539575000
29,20220512,005930,삼성전자,KOSPI,65200,64900,65500,64900,16414188,1069685385550,5969782550,387438887495000
30,20220511,005930,삼성전자,KOSPI,65500,65700,66300,65200,12330920,812298026600,5969782550,392214713535000
