종목코드,종목명,결산월,회계연도,자산총계,부채총계,자본총계,자본금,이익잉여금,매출액,영업이익,당기순이익,배당금,EPS,BPS,SPS,CEPS
A005930,삼성전자,12,2000,46421503465,29636008066,16785495399,881675130,10719539133,43527806399,9060339619,6192090262,-429897114,34118,96376,247398,52053
A005930,삼성전자,12,2001,52114878132,31716359455,20398518677,882117170,13341927645,46443767990,3951428210,3370912113,-507054073,17321,115527,263322,39733
A005930,삼성전자,12,2002,64954986000,38633640000,26321346000,889147000,20322113000,58504801000,9129485000,7324642000,-337899000,39771,151904,329910,62032
A005930,삼성전자,12,2003,68041741000,37882029000,30159712000,895241000,24415681000,64817456000,6296227000,5353068000,-910192000,33809,183381,367553,54732
A005930,삼성전자,12,2004,69004625000,32604344000,36400281000,897514000,30576954000,81963009000,11760746000,10168873000,-1596282000,62967,223178,478329,89603
A005930,삼성전자,12,2005,74461798000,32854387000,41607411000,897514000,37369265000,80629510000,7575498000,6907067000,-849364000,44907,262487,473921,75984
A005930,삼성전자,12,2006,81366206000,33426339000,47939867000,897514000,44463683000,85425626000,9007811000,8193659000,-831789000,46588,303763,502112,88557
A005930,삼성전자,12,2007,93375136000,37403228000,55971908000,897514000,51065174000,98507817000,8973286000,7922981000,-819110000,43616,353195,579006,96516
A005930,삼성전자,12,2008,1.05301E+11,42376696000,62923954000,897514000,55419571000,1.21294E+11,6031863000,5890214000,-1315486000,32480,395651,712939,93958
A005930,삼성전자,12,2009,1.18281E+11,45227196000,73054292000,897514000,64261204000,1.38994E+11,11577651000,10229921000,-871173000,56717,451157,816972,125722
A005930,삼성전자,12,2010,1.34289E+11,44939653000,89349091000,897514000,85014550000,1.5463E+11,16621030000,16146525000,-1917637000,92863,571760,908880,161876
A005930,삼성전자,12,2011,1.55631E+11,53785931000,1.01845E+11,897514000,97542525000,1.65002E+11,15454900000,13734067000,-874608000,78522,649624,969841,160617
A005930,삼성전자,12,2012,1.81072E+11,59591364000,1.2148E+11,897514000,1.19986E+11,2.01104E+11,29049338000,23845285000,-1265137000,136278,776993,1182039,231979
A005930,삼성전자,12,2013,2.14075E+11,64059008000,1.50016E+11,897514000,1.486E+11,2.28693E+11,36785013000,30474764000,-1249672000,175282,958040,1344201,275786
A005930,삼성전자,12,2014,2.30423E+11,62334770000,1.68088E+11,897514000,1.6953E+11,2.06206E+11,25025071000,23394358000,-2233905000,135673,1083205,1212030,243620
A005930,삼성전자,12,2015,2.4218E+11,63119716000,1.7906E+11,897514000,1.85132E+11,2.00653E+11,26413442000,19060144000,-3129544000,109883,1185738,1179394,235058
A005930,삼성전자,12,2016,2.62174E+11,69211291000,1.92963E+11,897514000,1.93086E+11,2.01867E+11,29240672000,22726092000,-3114742000,136760,1331779,1231612,265027
A005930,삼성전자,12,2017,3.01752E+11,87260662000,2.14491E+11,897514000,2.15811E+11,2.39575E+11,53645038000,42186747000,-6804297000,271061,1521349,1570694,421588
